formula,Nb,Mo,Ta,W,SFE,composition,Weight Fraction,Atomic Fraction,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model
Nb39Mo41Ta10W10,39,41,10,10,1.3437,Nb39 Mo41 Ta10 W10,Nb0.32337563284511917 Mo0.35105948944258425 Ta0.1614918632288422 W0.16407301448345432 ,Nb0.39Mo0.41Ta0.1W0.1,0.020519475076482795,4.744917837563198,-0.01072508595445897,1.5396,1.0439761651652995,-0.009921092691907316,112.05587619999999,11204.76762,-23.56280635181233,0.072638831086508,0.16344000000000009,5.51,6.1856,7.448500000000001,18.0,2.0,0,16.0,0,84.25829999999999,0.4976907236987173,22.548267000000003,-0.10315486941519969
Nb60Mo3Ta2W35,60,3,2,35,1.3357,Nb60 Mo3 Ta2 W35,Nb0.44036682340942657 Mo0.022737293734779236 Ta0.02858915362549917 W0.5083067292302951 ,Nb0.6Mo0.03Ta0.02W0.35,0.027330639211878786,2.9984152708566505,-0.020057573304306214,1.8916000000000002,1.0440487343359388,-0.007128176797765113,126.5855856,12658.49856,-9.542867296417953,0.08293693366646765,0.175485,5.38,7.359999999999999,8.0236,18.0,2.0,0,16.0,0,80.8794,0.6761555237978244,27.054827999999997,-0.15858998369037153
Nb4Mo79Ta8W9,4,79,8,9,1.2184,Nb4 Mo79 Ta8 W9,Nb0.03362205371882256 Mo0.6857179422686664 Ta0.1309670948683408 W0.14969290914417036 ,Nb0.04Mo0.79Ta0.08W0.09,0.01586325615122514,7.806970705885863,0.01549210403731649,0.8972,1.0441444415776373,-0.006100389791256724,110.5460856,11053.028559999999,-24.242249215171682,0.044529501957276243,0.07564500000000002,5.880000000000001,2.3392000000000004,7.139600000000001,18.0,2.0,0,16.0,0,112.2444,0.20607375584927046,9.221688,-0.02536624820059214
Nb6Mo68Ta15W11,6,68,15,11,0.8129,Nb6 Mo68 Ta15 W11,Nb0.04716931261738463 Mo0.552041065372848 Ta0.22967171681786008 W0.17111790519190734 ,Nb0.06Mo0.68Ta0.15W0.11,0.019772694798758948,6.547977372042891,0.009128331392622327,1.3102,1.0440965224205654,-0.007968331882728458,118.19176479999999,11817.81648,-20.381478659659006,0.05661701202954412,0.11422500000000005,5.79,3.6924,7.285800000000001,18.0,2.0,0,16.0,0,108.1227,0.2607102078724372,13.220427,-0.03869034253175842
Nb6Mo11Ta13W70,6,11,13,70,0.8732,Nb6 Mo11 Ta13 W70,Nb0.033114029200476354 Mo0.06269135226312537 Ta0.13973721712670287 W0.7644574014096954 ,Nb0.06Mo0.11Ta0.13W0.7,0.026945872886336188,6.213251763936034,0.0026824558605188353,1.6818,1.0443813906568131,-0.00770297131567981,168.34120719999999,16833.90072,-10.608983334702257,0.0624750154703412,0.12383999999999998,5.809999999999999,4.336399999999999,8.4874,18.0,2.0,0,16.0,0,131.0133,0.2849953348933745,16.824987,-0.05314612759876547
Nb33Mo39Ta23W5,33,39,23,5,1.3289,Nb33 Mo39 Ta23 W5,Nb0.257887204345079 Mo0.31472746005492 Ta0.3500673854702503 W0.07731795012975058 ,Nb0.33Mo0.39Ta0.23W0.05,0.020125838679714694,5.273563822812869,0.007586720223198993,1.5298000000000003,1.0438926322339679,-0.0101505466656219,118.89351780000001,11888.57178,-25.060022561744507,0.07125229450610651,0.1549650000000001,5.44,5.7328,7.465900000000001,18.0,2.0,0,16.0,0,80.97120000000001,0.46073798672093724,20.278152000000002,-0.09384892079785823
Nb17Mo47Ta22W14,17,47,22,14,1.7967,Nb17 Mo47 Ta22 W14,Nb0.12492155725154752 Mo0.3566485819175194 Ta0.31486117335426667 W0.20356868747666643 ,Nb0.17Mo0.47Ta0.22W0.14,0.023407212544920973,5.752823051134327,-0.0036472384632646503,1.7764,1.0440124119944592,-0.010512696984625022,126.4414182,12643.20182,-19.187339023661153,0.07061944447489671,0.16080000000000008,5.609999999999999,5.6096,7.520300000000001,18.0,2.0,0,16.0,0,97.3233,0.38226313663066136,20.093427,-0.07484975700401503
Nb26Mo27Ta23W24,26,27,23,24,1.4649,Nb26 Mo27 Ta23 W24,Nb0.17787793824027276 Mo0.19075093644675828 Ta0.3064675776663191 W0.32490354764664986 ,Nb0.26Mo0.27Ta0.23W0.24,0.02677940976817298,5.586953494717302,-0.01081746887942337,2.0834,1.0440101443579277,-0.011509008205279923,135.8044712,13579.90712,-16.048553644685096,0.07729150360554995,0.1773,5.51,6.469200000000001,7.808600000000001,18.0,2.0,0,16.0,0,93.5223,0.4712000505286998,24.565947,-0.10298370457926587
Nb25Mo40Ta9W26,25,40,9,26,1.5839,Nb25 Mo40 Ta9 W26,Nb0.18479813809339454 Mo0.30533159713992125 Ta0.1295710722314325 W0.3802991925352516 ,Nb0.25Mo0.4Ta0.09W0.26,0.023936642088980616,5.639401509214301,-0.00013534815325061845,1.831,1.044119324685182,-0.010642286949028775,125.6943042,12568.630420000001,-18.574131354245534,0.07086829465022444,0.16350000000000003,5.66,5.8552,7.6635,18.0,2.0,0,16.0,0,101.6478,0.4280694926613035,23.583252,-0.09067992608116092
Nb19Mo26Ta13W42,19,26,13,42,1.3206,Nb19 Mo26 Ta13 W42,Nb0.1231555674878306 Mo0.17403154362961046 Ta0.16411631682773356 W0.5386965720548254 ,Nb0.19Mo0.26Ta0.13W0.42,0.027347113473351455,5.897659594884328,0.001231578048308286,2.071,1.0441924923739305,-0.010769598296803268,143.3378366,14333.26366,-14.400465105749552,0.07269348092939108,0.16709999999999997,5.68,5.944000000000001,8.0025,18.0,2.0,0,16.0,0,110.4144,0.4057129231455939,24.119087999999998,-0.09072840400059512
Nb14Mo33Ta2W51,14,33,2,51,0.8317,Nb14 Mo33 Ta2 W51,Nb0.09156917518948933 Mo0.2228893830184037 Ta0.02547764153839088 W0.660063800253716 ,Nb0.14Mo0.33Ta0.02W0.51,0.02212099068176121,7.629610900506774,0.012558572159296894,1.5764000000000002,1.044332820350028,-0.00883579202961212,142.0510508,14204.445080000001,-18.056615058090017,0.056602274754478744,0.11812499999999994,5.84,3.8112000000000004,8.011400000000002,18.0,2.0,0,16.0,0,122.8632,0.3213954948383066,19.387031999999998,-0.06382772830556549
Nb67Mo19Ta7W7,67,19,7,7,1.1804,Nb67 Mo19 Ta7 W7,Nb0.5871773609903985 Mo0.1719500381555593 Ta0.1194814544677995 W0.1213911463862426 ,Nb0.67Mo0.19Ta0.07W0.07,0.017848848994199,4.619277944796742,0.018791534953151702,1.1602,1.0438566337824093,-0.00794947519817746,106.01482619999999,10601.102620000001,-24.95272774313554,0.0671020862836055,0.1252050000000001,5.259999999999999,4.9592,7.557699999999999,18.0,2.0,0,16.0,0,62.62379999999998,0.6257261707752754,18.387852,-0.11760078319465068
Nb85Mo6Ta3W6,85,6,3,6,1.1017,Nb85 Mo6 Ta3 W6,Nb0.7804507424102431 Mo0.056889484479655424 Ta0.05364827814720947 W0.10901149496289193 ,Nb0.85Mo0.06Ta0.03W0.06,0.014877337333618876,4.648212905281399,0.02166853697122241,0.7062,1.0437982949909739,-0.004829994297514528,101.18685939999999,10118.56594,-21.822082689276552,0.05346945572752353,0.07182000000000002,5.120000000000001,2.9424,7.6207,18.0,2.0,0,16.0,0,50.0376,0.644565615930436,11.053008,-0.10267783940213954
Nb1Mo32Ta26W41,1,32,26,41,0.791,Nb1 Mo32 Ta26 W41,Nb0.006030895828520821 Mo0.1992902173696274 Ta0.30539585313154854 W0.4892830336703032 ,Nb0.01Mo0.32Ta0.26W0.41,0.02885569965689755,6.41081144507489,0.004727132068084867,2.1408,1.0441810397377664,-0.009365430424517976,154.05711259999998,15405.07126,-11.2477207079361,0.06821898852663223,0.15454499999999996,5.73,4.8568,8.013100000000001,18.0,2.0,0,16.0,0,118.01489999999998,0.29369545709862116,18.596883,-0.044427973164720566
Nb22Mo9Ta8W61,22,9,8,61,1.2452,Nb22 Mo9 Ta8 W61,Nb0.1312808164856829 Mo0.05545941360183708 Ta0.09297721554949234 W0.7202825543629877 ,Nb0.22Mo0.09Ta0.08W0.61,0.028075384437424095,4.717584172752943,0.0026781810148655914,1.9387999999999999,1.0443005145616735,-0.008757986338167158,155.694034,15569.223399999999,-11.11099212576174,0.07398443481472591,0.16168499999999997,5.7,6.279999999999999,8.356200000000001,18.0,2.0,0,16.0,0,117.489,0.4142558567739911,24.101100000000002,-0.09813948997336783
Nb44Mo8Ta38W10,44,8,38,10,1.1743,Nb44 Mo8 Ta38 W10,Nb0.3012479658389224 Mo0.056560808540590125 Ta0.5067141169835518 W0.1354771086369357 ,Nb0.44Mo0.08Ta0.38W0.1,0.021114066723590636,7.530573333296442,-0.003118618640139532,1.4216000000000004,1.0437647270244113,-0.00965446766442646,135.6998016,13569.82016,-21.656314660669533,0.06336587418956238,0.10206000000000004,5.18,3.9248000000000003,7.8444,18.0,2.0,0,16.0,0,67.1454,0.5400334859444211,17.992068000000003,-0.0966925279089614
Nb47Mo6Ta32W15,47,6,32,15,1.21,Nb47 Mo6 Ta32 W15,Nb0.3236874854913822 Mo0.04267106447171902 Ta0.4292259692030228 W0.20441548083387598 ,Nb0.47Mo0.06Ta0.32W0.15,0.02353474054948174,6.429825969313334,0.001052178441275966,1.6088,1.0438139823066284,-0.009751093406709896,134.90292019999998,13490.17202,-17.604937464476393,0.06899946060702472,0.11866499999999999,5.209999999999999,4.6608,7.894100000000001,18.0,2.0,0,16.0,0,69.4833,0.5858180086832897,20.333787,-0.11425509779142284
Nb49Mo5Ta29W17,49,5,29,17,1.2151,Nb49 Mo5 Ta29 W17,Nb0.339608577834805 Mo0.03578547209706926 Ta0.39146102566635665 W0.2331449244017691 ,Nb0.49Mo0.05Ta0.29W0.17,0.024268973113287278,6.019506335311081,0.003141437348509217,1.6626,1.043834172575099,-0.009640451186375817,134.0498114,13404.88114,-16.367960145206975,0.07083178782996623,0.12412500000000004,5.220000000000001,4.924,7.9123,18.0,2.0,0,16.0,0,70.0746,0.6046111871399172,21.133308,-0.12135590002140073
Nb19Mo25Ta24W32,19,25,24,32,1.8617,Nb19 Mo25 Ta24 W32,Nb0.12267553282742574 Mo0.16668577408478052 Ta0.3018030013438397 W0.408835691743954 ,Nb0.19Mo0.25Ta0.24W0.32,0.02854628208184443,5.692812639541784,-0.00658045664505145,2.2156000000000002,1.0440714742555814,-0.011383856500882684,143.8985034,14389.35034,-13.969803799039894,0.07733461582607841,0.17970000000000003,5.57,6.436,7.9353,18.0,2.0,0,16.0,0,101.5101,0.43362075881131656,24.447963,-0.09557695270599938
Nb24Mo41Ta33W2,24,41,33,2,1.3181,Nb24 Mo41 Ta33 W2,Nb0.1783481018552659 Mo0.31462648769463886 Ta0.4776163115225224 W0.02940909892757283 ,Nb0.24Mo0.41Ta0.33W0.02,0.019763432190223883,5.328135770728924,0.0005834263683941643,1.5010000000000001,1.0438521392161042,-0.0095790771997501,125.03073159999998,12502.25316,-24.524430855454142,0.06987069114807659,0.15000000000000013,5.430000000000001,5.406,7.4639999999999995,18.0,2.0,0,16.0,0,82.1919,0.40420419393026563,17.971563000000003,-0.07997901972986148
Nb38Mo13Ta6W43,38,13,6,43,1.6042,Nb38 Mo13 Ta6 W43,Nb0.25641502009999695 Mo0.0905852302662434 Ta0.07885315522195883 W0.5741465944118007 ,Nb0.38Mo0.13Ta0.06W0.43,0.02791859169091824,4.258911990284656,-0.007248963293559052,2.0788,1.0441581569191356,-0.009682670724390127,137.6872972,13768.469720000001,-12.42247549661685,0.08047514781931146,0.184605,5.56,7.2928,8.0762,18.0,2.0,0,16.0,0,99.2028,0.5319128596267938,28.081272,-0.12667567856906697
Nb20Mo46Ta6W28,20,46,6,28,0.8015,Nb20 Mo46 Ta6 W28,Nb0.1485958233551719 Mo0.35293003099678344 Ta0.0868232059401287 W0.41165093970791594 ,Nb0.2Mo0.46Ta0.06W0.28,0.022559136847083258,6.2084566782245805,0.005525884162903128,1.6888,1.0441718830199407,-0.010012765182493878,125.0549488,12504.57488,-19.674743257055788,0.06499004495522888,0.14568000000000003,5.74,5.0224,7.629200000000001,18.0,2.0,0,16.0,0,107.7222,0.3807915800226539,21.559332000000005,-0.07723922193554518
Nb38Mo34Ta21W7,38,34,21,7,1.2997,Nb38 Mo34 Ta21 W7,Nb0.2971956049332369 Mo0.2745945280070963 Ta0.31987922958962667 W0.10833063747004013 ,Nb0.38Mo0.34Ta0.21W0.07,0.020616186778536855,5.33887815439109,0.008957329503513805,1.5598,1.0438926322339679,-0.010378877050128204,118.79867920000001,11879.18792,-24.419326793998746,0.07194028314830767,0.15490500000000013,5.41,5.791600000000001,7.519400000000001,18.0,2.0,0,16.0,0,78.7413,0.49537504353113776,21.173187,-0.10056905682894876
Nb34Mo35Ta29W2,34,35,29,2,1.2776,Nb34 Mo35 Ta29 W2,Nb0.26037312465753054 Mo0.27678302903592206 Ta0.4325369330226712 W0.03030691328387618 ,Nb0.34Mo0.35Ta0.29W0.02,0.018735049806122638,5.5052369213478904,0.0033893842166281486,1.4226,1.043834172575099,-0.00973949392858227,121.32585439999998,12131.88544,-27.747680631284933,0.0688470767380653,0.14280000000000012,5.37,5.265999999999999,7.487800000000001,18.0,2.0,0,16.0,0,76.2441,0.4530670538355988,18.716403,-0.08984940752249676
Nb55Mo19Ta5W21,55,19,5,21,1.3067,Nb55 Mo19 Ta5 W21,Nb0.43681069037396647 Mo0.15582543417364456 Ta0.0773407775797388 W0.3300230978726502 ,Nb0.55Mo0.19Ta0.05W0.21,0.023797081027445086,4.188319878494898,-0.01861485789583619,1.7186,1.043987484202673,-0.009327243147244722,116.984703,11698.0903,-16.470467242040844,0.07772210881056756,0.16888500000000006,5.4,6.688000000000001,7.733300000000001,18.0,2.0,0,16.0,0,78.174,0.6215013609453305,25.20468,-0.13244739221322327
Nb7Mo4Ta38W51,7,4,38,51,1.7724,Nb7 Mo4 Ta38 W51,Nb0.03762270106762514 Mo0.022200670889973673 Ta0.397780499844958 W0.5423961281974431 ,Nb0.07Mo0.04Ta0.38W0.51,0.034141056182221546,4.231845606813743,-0.008088468108150304,2.4608,1.0441170431195084,-0.00853008824053726,172.860441,17285.9641,-7.318121561743374,0.08276139988151388,0.185985,5.550000000000001,6.94,8.4197,18.0,2.0,0,16.0,0,111.37950000000001,0.39746442794280296,22.992075,-0.08235613110643572
Nb76Mo1Ta22W1,76,1,22,1,0.997,Nb76 Mo1 Ta22 W1,Nb0.6236694346393599 Mo0.00847412846636018 Ta0.3516183320656824 W0.016238104828597617 ,Nb0.76Mo0.01Ta0.22W0.01,0.008763783683007322,28.565487626865146,0.008407592211682208,0.46120000000000005,1.0436888795848667,-0.00526927608244954,113.21538240000001,11321.51824,-68.60687774527561,0.023401839587442554,0.013245000000000007,5.02,0.5312,7.692400000000001,18.0,2.0,0,16.0,0,46.272600000000004,0.3934748990466831,6.982908000000002,-0.04654438835887325
Nb8Mo18Ta38W36,8,18,38,36,1.8176,Nb8 Mo18 Ta38 W36,Nb0.04655668994463246 Mo0.10817297880832388 Ta0.4307087214050119 W0.4145616098420317 ,Nb0.08Mo0.18Ta0.38W0.36,0.03140436686263539,5.322873727606006,-0.00876251024608187,2.3864,1.04404418990521,-0.01036089339527269,159.6479048,15964.43048,-10.505509528569874,0.07965820301733913,0.18359999999999999,5.54,6.4656,8.1152,18.0,2.0,0,16.0,0,105.0162,0.39455242369677945,22.574292,-0.07747671626061634
Nb56Mo5Ta3W36,56,5,3,36,1.35,Nb56 Mo5 Ta3 W36,Nb0.405087453094672 Mo0.037349513112307664 Ta0.042265886283328793 W0.5152971475096916 ,Nb0.56Mo0.05Ta0.03W0.36,0.027519789534852332,3.2898225797882743,-0.017918475595315057,1.9474,1.0440646491687258,-0.007877316769717525,128.4364092,12843.54092,-10.401311279514244,0.08304547985373993,0.1797,5.41,7.4556,8.0272,18.0,2.0,0,16.0,0,83.91329999999999,0.6509800964934845,27.659307000000002,-0.15303722779809914
Nb48Mo14Ta3W35,48,14,3,35,1.3938,Nb48 Mo14 Ta3 W35,Nb0.34894661088173495 Mo0.10509933267228955 Ta0.04247632769692114 W0.5034777287490545 ,Nb0.48Mo0.14Ta0.03W0.35,0.02665887537514114,3.8707233897354305,-0.012212527826586123,1.9678,1.0440965224205654,-0.009147025257508032,127.8018988,12779.90988,-12.870524020028816,0.08112565999478112,0.184065,5.49,7.3668,7.946400000000001,18.0,2.0,0,16.0,0,89.80769999999998,0.5913528789792123,28.028307,-0.1359061376786918
Nb63Mo9Ta13W15,63,9,13,15,1.1962,Nb63 Mo9 Ta13 W15,Nb0.49491478210534784 Mo0.0730107081915412 Ta0.1989029338235172 W0.23317157587959372 ,Nb0.63Mo0.09Ta0.13W0.15,0.022171175825554047,5.064955795931908,0.014438307214381559,1.4658000000000002,1.0438701244634294,-0.00879283776115315,118.2666438,11826.48438,-17.88758076940624,0.07077364494445959,0.12856500000000004,5.24,5.1648000000000005,7.7709,18.0,2.0,0,16.0,0,65.9052,0.6565445166065236,20.612232000000002,-0.12919628810888972
Nb43Mo30Ta4W23,43,30,4,23,1.4155,Nb43 Mo30 Ta4 W23,Nb0.33783321496804813 Mo0.24339369331744848 Ta0.06120710556759429 W0.3575659861469091 ,Nb0.43Mo0.3Ta0.04W0.23,0.0235954029455166,4.4429410457154255,-0.009344659710020084,1.7816000000000003,1.0440578267491385,-0.009900971977038375,118.2588586,11825.28586,-17.78373731294418,0.07639552751202275,0.17602500000000004,5.529999999999999,6.7584,7.6721,18.0,2.0,0,16.0,0,88.7889,0.5419949754538025,25.975323000000003,-0.1163924392599054
