formula,Nb,Mo,Ta,W,C11,C12,C44,a,b,c,G,B,E,v,Pugh,Zener
Nb13Mo25Ta9W53,13,25,9,53,489.927,194.568,120.176,64.129,64.13,64.13,130.513,293.021,340.923,0.306,2.245,0.814
Nb18Mo54Ta13W15,18,54,13,15,447.054,180.155,98.878,64.289,64.288,64.289,111.508,269.121,293.928,0.318,2.413,0.741
Nb11Mo13Ta52W24,11,13,52,24,367.607,161.737,80.027,65.241,65.233,65.242,88.519,230.36,235.404,0.33,2.602,0.777
Nb26Mo19Ta43W12,26,19,43,12,343.051,153.426,64.735,65.429,65.43,65.43,75.455,216.634,202.817,0.344,2.871,0.683
Nb20Mo41Ta11W28,20,41,11,28,452.317,182.278,101.006,64.326,64.322,64.328,113.468,272.291,298.887,0.317,2.4,0.748
Nb15Mo13Ta27W45,15,13,27,45,432.959,176.8,98.43,64.659,64.661,64.661,109.382,262.187,288.085,0.317,2.397,0.769
Nb20Mo11Ta47W22,20,11,47,22,352.585,158.292,72.288,65.382,65.37,65.387,81.381,223.056,217.671,0.337,2.741,0.744
Nb18Mo7Ta17W58,18,7,17,58,453.08,183.218,105.222,64.502,64.505,64.5,116.245,273.172,305.413,0.314,2.35,0.78
Nb51Mo31Ta7W11,51,31,7,11,361.764,155.796,55.564,65.07,65.066,65.077,71.32,224.452,193.468,0.356,3.147,0.54
Nb15Mo31Ta1W53,15,31,1,53,496.025,197.012,122.361,63.984,63.984,63.984,132.581,296.683,346.178,0.306,2.238,0.818
Nb29Mo22Ta47W2,29,22,47,2,320.445,147.841,56.356,65.646,65.638,65.639,66.887,205.375,181.01,0.353,3.07,0.653
Nb23Mo19Ta10W48,23,19,10,48,452.604,182.97,101.636,64.435,64.438,64.432,113.821,272.848,299.779,0.317,2.397,0.754
Nb9Mo45Ta33W13,9,45,33,13,435.006,175.913,98.263,64.572,64.571,64.57,109.773,262.278,289,0.316,2.389,0.759
Nb27Mo21Ta14W38,27,21,14,38,426.422,174.781,90.071,64.643,64.64,64.639,102.995,258.661,272.78,0.324,2.511,0.716
Nb32Mo13Ta45W10,32,13,45,10,317.752,149.265,56.619,65.696,65.695,65.696,66.418,205.427,179.869,0.354,3.093,0.672
Nb23Mo30Ta39W8,23,30,39,8,365.042,156.585,70.366,65.191,65.188,65.193,82.393,226.071,220.404,0.338,2.744,0.675
Nb31Mo4Ta25W40,31,4,25,40,383.75,165.329,77.511,65.097,65.092,65.097,88.942,238.136,237.284,0.334,2.677,0.71
Nb12Mo13Ta14W61,12,13,14,61,484.241,192.519,118.707,64.247,64.246,64.246,128.913,289.76,336.793,0.306,2.248,0.814
Nb18Mo7Ta22W53,18,7,22,53,438.625,179.061,99.973,64.633,64.626,64.627,110.992,265.582,292.262,0.317,2.393,0.77
Nb13Mo21Ta21W45,13,21,21,45,457.9,183.759,107.183,64.429,64.431,64.428,118.281,275.139,310.369,0.312,2.326,0.782
Nb10Mo11Ta59W20,10,11,59,20,348.7,159.268,76.025,65.422,65.417,65.423,83.021,222.412,221.503,0.334,2.679,0.803
Nb12Mo50Ta3W35,12,50,3,35,483.361,191.594,116.886,63.905,63.904,63.905,127.734,288.85,333.972,0.307,2.261,0.801
Nb4Mo45Ta40W11,4,45,40,11,434.084,175.678,99.893,64.614,64.611,64.612,110.739,261.814,291.166,0.315,2.364,0.773
Nb10Mo51Ta18W21,10,51,18,21,464.9,185.324,109.297,64.209,64.205,64.209,120.619,278.516,316.21,0.311,2.309,0.782
Nb22Mo27Ta7W44,22,27,7,44,461.316,185.8,104.867,64.316,64.315,64.317,116.981,277.639,307.725,0.315,2.373,0.761
Nb3Mo19Ta77W1,3,19,77,1,314.001,153.333,67.164,65.711,65.709,65.714,72.155,206.889,193.921,0.344,2.867,0.836
Nb44Mo8Ta46W2,44,8,46,2,277.394,142.301,41.501,66.125,66.124,66.129,50.494,187.332,138.994,0.376,3.71,0.614
Nb8Mo20Ta34W38,8,20,34,38,437.416,177.594,101.77,64.626,64.623,64.623,112.225,264.202,294.919,0.314,2.354,0.783
Nb56Mo24Ta12W8,56,24,12,8,328.464,145.78,43.817,65.381,65.38,65.38,59.08,206.675,161.82,0.37,3.498,0.48
Nb8Mo18Ta34W40,8,18,34,40,437.92,177.782,102.075,64.625,64.625,64.625,112.481,264.495,295.548,0.314,2.351,0.785
Nb37Mo56Ta3W4,37,56,3,4,413.052,171.822,77.538,64.517,64.516,64.516,92.615,252.232,247.547,0.336,2.723,0.643
Nb41Mo16Ta19W24,41,16,19,24,363.373,157.238,63.827,65.182,65.183,65.185,77.409,225.95,208.424,0.346,2.919,0.619
Nb76Mo6Ta13W5,76,6,13,5,256.446,127.926,16.746,66.098,66.098,66.099,29.766,170.766,84.393,0.418,5.737,0.261
Nb60Mo27Ta3W10,60,27,3,10,340.808,149.427,44.344,65.216,65.21,65.214,60.673,213.22,166.25,0.37,3.514,0.463
Nb2Mo20Ta14W64,2,20,14,64,523.971,205.406,138.414,63.959,63.96,63.96,146.415,311.594,379.763,0.297,2.128,0.869
Nb11Mo39Ta4W46,11,39,4,46,496.566,196.385,123.513,63.929,63.931,63.93,133.536,296.445,348.309,0.304,2.22,0.823
Nb8Mo2Ta43W47,8,2,43,47,410.749,173.862,96.715,64.909,64.909,64.909,104.89,252.824,276.441,0.318,2.41,0.817
Nb5Mo35Ta50W10,5,35,50,10,395.84,164.938,86.972,64.945,64.942,64.941,97.428,241.905,257.69,0.322,2.483,0.753
Nb52Mo35Ta8W5,52,35,8,5,355.041,153.5,52.428,65.108,65.112,65.113,68.321,220.68,185.791,0.36,3.23,0.52
Nb4Mo59Ta22W15,4,59,22,15,472.11,186.968,114.08,64.129,64.126,64.127,124.734,282.015,326.122,0.307,2.261,0.8
Nb1Mo20Ta26W53,1,20,26,53,495.253,195.784,126.164,64.214,64.216,64.214,135.117,295.607,351.756,0.302,2.188,0.843
Nb22Mo62Ta7W9,22,62,7,9,440.577,178.499,94.106,64.223,64.219,64.222,107.471,265.858,284.128,0.322,2.474,0.718
Nb22Mo13Ta17W48,22,13,17,48,437.303,178.22,97.178,64.603,64.599,64.601,109.046,264.581,287.623,0.319,2.426,0.75
Nb19Mo40Ta30W11,19,40,30,11,406.53,167.582,84.497,64.791,64.79,64.791,97.096,247.231,257.57,0.326,2.546,0.707
Nb6Mo44Ta5W45,6,44,5,45,504.754,198.136,128.862,63.813,63.814,63.812,138.141,300.342,359.333,0.301,2.174,0.841
Nb26Mo49Ta4W21,26,49,4,21,444.237,180.525,94.765,64.284,64.287,64.288,108.191,268.429,286.13,0.322,2.481,0.719
Nb49Mo32Ta11W8,49,32,11,8,356.811,154.011,55.031,65.129,65.126,65.128,70.464,221.611,191.135,0.356,3.145,0.543
Nb27Mo17Ta3W53,27,17,3,53,458.119,185.591,102.589,64.378,64.38,64.377,114.951,276.434,302.871,0.317,2.405,0.753
Nb35Mo3Ta59W3,35,3,59,3,270.737,147.234,46.969,66.254,66.253,66.25,52.413,188.402,143.894,0.373,3.595,0.761
Nb8Mo3Ta32W57,8,3,32,57,445.618,181.616,107.094,64.606,64.608,64.608,116.447,269.617,305.377,0.311,2.315,0.811
Nb20Mo3Ta57W20,20,3,57,20,323.07,156.654,67.497,65.701,65.699,65.695,73.396,212.126,197.419,0.345,2.89,0.811
Nb23Mo9Ta7W61,23,9,7,61,463.533,186.816,107.09,64.388,64.389,64.388,118.665,279.055,311.798,0.314,2.352,0.774
Nb5Mo3Ta18W74,5,3,18,74,500.228,197.212,127.641,64.166,64.166,64.165,136.706,298.218,355.757,0.301,2.181,0.842
Nb38Mo12Ta19W31,38,12,19,31,374.887,160.987,69.478,65.102,65.107,65.112,82.634,232.287,221.623,0.341,2.811,0.65
Nb3Mo6Ta86W5,3,6,86,5,286.953,156.672,67.075,66.037,66.04,66.036,66.294,200.099,179.103,0.351,3.018,1.03
Nb42Mo38Ta5W15,42,38,5,15,397.603,166.868,71.256,64.755,64.755,64.758,86.511,243.78,232.08,0.341,2.818,0.618
Nb63Mo8Ta5W24,63,8,5,24,323.943,145.488,40.572,65.429,65.428,65.426,55.962,204.973,153.882,0.375,3.663,0.455
Nb7Mo66Ta23W4,7,66,23,4,454.383,181.317,105.381,64.219,64.218,64.218,116.903,272.339,306.81,0.312,2.33,0.772
Nb3Mo67Ta24W6,3,67,24,6,464.037,183.955,110.808,64.133,64.136,64.135,121.702,277.315,318.513,0.309,2.279,0.791
Nb51Mo29Ta16W4,51,29,16,4,334.979,147.505,47.891,65.338,65.34,65.342,62.884,209.996,171.531,0.364,3.339,0.511
Nb42Mo2Ta38W18,42,2,38,18,305.976,148.33,51.365,65.817,65.819,65.821,61.015,200.879,166.215,0.362,3.292,0.652
Nb5Mo25Ta53W17,5,25,53,17,385.044,163.346,84.843,65.057,65.051,65.046,94.437,237.245,250.124,0.324,2.512,0.765
Nb75Mo6Ta2W17,75,6,2,17,284.891,133.204,22.69,65.702,65.698,65.699,37.74,183.767,105.965,0.404,4.869,0.299
Nb32Mo47Ta15W6,32,47,15,6,402.195,167.162,76.851,64.728,64.731,64.729,91.157,245.506,243.353,0.335,2.693,0.654
Nb21Mo17Ta53W9,21,17,53,9,329.985,152.487,64.09,65.586,65.579,65.576,73.029,211.653,196.488,0.345,2.898,0.722
Nb19Mo11Ta3W67,19,11,3,67,487.61,194.432,118.24,64.184,64.181,64.181,128.866,292.158,337.044,0.308,2.267,0.807
Nb22Mo32Ta7W39,22,32,7,39,458.553,184.817,103.35,64.305,64.306,64.303,115.665,276.062,304.473,0.316,2.387,0.755
Nb14Mo24Ta7W55,14,24,7,55,491.333,195.174,120.577,64.112,64.112,64.113,130.916,293.893,341.971,0.306,2.245,0.814
Nb15Mo58Ta6W21,15,58,6,21,463.37,185.067,106.482,64.03,64.03,64.03,118.534,277.835,311.328,0.313,2.344,0.765
Nb9Mo52Ta15W24,9,52,15,24,473.195,187.907,113.073,64.106,64.105,64.106,124.099,283.003,324.819,0.309,2.28,0.793
Nb13Mo19Ta4W64,13,19,4,64,504.623,199.732,127.021,64.026,64.027,64.027,136.646,301.363,356.113,0.303,2.205,0.833
Nb38Mo40Ta6W16,38,40,6,16,407.418,169.631,76.494,64.67,64.671,64.677,91.338,248.893,244.147,0.337,2.725,0.643
Nb5Mo19Ta1W75,5,19,1,75,538.098,210.457,145.025,63.752,63.753,63.752,152.272,319.671,394.221,0.294,2.099,0.885
Nb21Mo28Ta10W41,21,28,10,41,456.578,183.965,103.208,64.361,64.36,64.359,115.379,274.836,303.646,0.316,2.382,0.757
Nb34Mo54Ta1W11,34,54,1,11,425.31,175.528,83.469,64.4,64.4,64.397,98.137,258.789,261.372,0.332,2.637,0.668
Nb38Mo7Ta26W29,38,7,26,29,356.598,158.319,65,65.295,65.3,65.299,77.02,224.412,207.34,0.346,2.914,0.656
Nb38Mo11Ta37W14,38,11,37,14,321.573,149.375,54.955,65.642,65.637,65.636,65.832,206.775,178.547,0.356,3.141,0.638
Nb46Mo4Ta28W22,46,4,28,22,320.389,148.914,51.865,65.63,65.632,65.632,63.506,206.073,172.771,0.36,3.245,0.605
Nb11Mo34Ta45W10,11,34,45,10,389.261,163.01,82.457,64.985,64.988,64.986,93.605,238.427,248.319,0.326,2.547,0.729
Nb8Mo23Ta5W64,8,23,5,64,518.105,203.819,134.548,63.911,63.91,63.91,143.172,308.581,371.986,0.299,2.155,0.856
Nb56Mo7Ta3W34,56,7,3,34,358.187,156.431,55.106,65.18,65.176,65.18,70.37,223.683,191.074,0.358,3.179,0.546
Nb9Mo54Ta6W31,9,54,6,31,483.627,191.009,117.811,63.887,63.887,63.888,128.488,288.548,335.643,0.306,2.246,0.805
Nb13Mo49Ta4W34,13,49,4,34,480.853,191.001,115.376,63.954,63.956,63.957,126.409,287.618,330.768,0.308,2.275,0.796
Nb15Mo36Ta13W36,15,36,13,36,466.874,186.722,109.087,64.253,64.254,64.255,120.58,280.106,316.346,0.312,2.323,0.779
Nb10Mo7Ta77W6,10,7,77,6,292.877,154.54,64.088,65.987,65.987,65.991,66.074,200.652,178.616,0.352,3.037,0.927
Nb47Mo3Ta42W8,47,3,42,8,279.239,143.237,41.846,66.11,66.102,66.105,50.881,188.571,140.048,0.376,3.706,0.615
Nb11Mo3Ta5W81,11,3,5,81,512.204,201.682,131.345,64.03,64.028,64.031,140.441,305.189,365.289,0.301,2.173,0.846
Nb26Mo54Ta15W5,26,54,15,5,419.117,172.022,85.021,64.551,64.549,64.548,98.784,254.387,262.389,0.328,2.575,0.688
Nb23Mo15Ta24W38,23,15,24,38,412.291,170.912,87.828,64.802,64.812,64.807,99.768,251.371,264.333,0.325,2.52,0.728
Nb2Mo39Ta49W10,2,39,49,10,412.362,169.304,93.232,64.81,64.812,64.811,103.679,250.324,273.305,0.318,2.414,0.767
Nb28Mo31Ta26W15,28,31,26,15,386.66,162.377,74.954,64.966,64.961,64.965,88.123,237.138,235.23,0.335,2.691,0.668
Nb32Mo14Ta23W31,32,14,23,31,383.848,163.321,74.87,65.045,65.042,65.039,87.463,236.83,233.63,0.336,2.708,0.679
Nb15Mo32Ta27W26,15,32,27,26,430.215,174.829,95.168,64.618,64.612,64.618,107.071,259.958,282.437,0.319,2.428,0.745
Nb25Mo31Ta27W17,25,31,27,17,394.159,164.47,78.7,64.906,64.9,64.909,91.596,241.033,243.894,0.331,2.631,0.685
Nb20Mo20Ta28W32,20,20,28,32,410.342,169.904,87.688,64.814,64.818,64.814,99.516,250.05,263.581,0.324,2.513,0.729
