formula,Nb,Mo,Ta,W,SFE
Nb46Mo9Ta4W41,46,9,4,41,1.4128
Nb3Mo69Ta17W11,3,69,17,11,0.7393
Nb9Mo3Ta74W14,9,3,74,14,1.1768
Nb36Mo14Ta15W35,36,14,15,35,1.4248
Nb2Mo9Ta81W8,2,9,81,8,1.157
Nb50Mo47Ta2W1,50,47,2,1,1.2953
Nb7Mo3Ta18W72,7,3,18,72,0.8646
Nb19Mo17Ta59W5,19,17,59,5,1.208
Nb56Mo27Ta8W9,56,27,8,9,1.2644
Nb38Mo24Ta10W28,38,24,10,28,1.4764
Nb29Mo18Ta44W9,29,18,44,9,1.2369
Nb8Mo28Ta45W19,8,28,45,19,1.4464
Nb9Mo24Ta30W37,9,24,30,37,1.8575
Nb26Mo42Ta13W19,26,42,13,19,1.9533
Nb6Mo52Ta35W7,6,52,35,7,1.9237
Nb6Mo12Ta17W65,6,12,17,65,0.8282
Nb27Mo21Ta28W24,27,21,28,24,1.3785
Nb9Mo41Ta17W33,9,41,17,33,0.8121
Nb46Mo1Ta39W14,46,1,39,14,1.1605
Nb47Mo36Ta13W4,47,36,13,4,1.2856
Nb11Mo19Ta35W35,11,19,35,35,1.8359
Nb32Mo44Ta4W20,32,44,4,20,1.8011
Nb19Mo32Ta7W42,19,32,7,42,0.8389
Nb1Mo43Ta35W21,1,43,35,21,1.2616
Nb11Mo11Ta16W62,11,11,16,62,0.8144
Nb48Mo25Ta23W4,48,25,23,4,1.2283
Nb1Mo39Ta29W31,1,39,29,31,0.8877
Nb63Mo6Ta14W17,63,6,14,17,1.1889
Nb16Mo21Ta36W27,16,21,36,27,1.4289
Nb53Mo7Ta20W20,53,7,20,20,1.2586
Nb56Mo27Ta7W10,56,27,7,10,1.2625
Nb24Mo3Ta48W25,24,3,48,25,1.2778
Nb2Mo10Ta24W64,2,10,24,64,0.8527
Nb28Mo17Ta28W27,28,17,28,27,1.39
Nb14Mo1Ta68W17,14,1,68,17,1.1739
Nb4Mo13Ta9W74,4,13,9,74,1.9848
Nb5Mo51Ta10W34,5,51,10,34,0.7994
Nb58Mo15Ta2W25,58,15,2,25,1.3065
Nb2Mo41Ta51W6,2,41,51,6,1.4185
Nb32Mo21Ta40W7,32,21,40,7,1.2325
Nb71Mo12Ta7W10,71,12,7,10,1.1561
Nb3Mo46Ta44W7,3,46,44,7,1.819
Nb1Mo8Ta3W88,1,8,3,88,1.7645
Nb10Mo13Ta45W32,10,13,45,32,1.4668
Nb27Mo36Ta7W30,27,36,7,30,1.6719
Nb20Mo25Ta4W51,20,25,4,51,0.835
Nb3Mo2Ta5W90,3,2,5,90,2.0614
Nb6Mo76Ta8W10,6,76,8,10,0.7738
Nb66Mo18Ta1W15,66,18,1,15,1.2513
Nb48Mo17Ta11W24,48,17,11,24,1.3492
Nb31Mo25Ta29W15,31,25,29,15,1.3256
Nb52Mo18Ta20W10,52,18,20,10,1.2193
Nb40Mo24Ta12W24,40,24,12,24,1.3791
Nb5Mo4Ta8W83,5,4,8,83,1.1956
Nb15Mo22Ta32W31,15,22,32,31,1.6467
Nb1Mo19Ta26W54,1,19,26,54,0.829
Nb36Mo6Ta53W5,36,6,53,5,1.116
Nb4Mo47Ta48W1,4,47,48,1,1.4799
Nb20Mo46Ta16W18,20,46,16,18,1.658
Nb43Mo11Ta9W37,43,11,9,37,1.4162
Nb1Mo80Ta7W12,1,80,7,12,1.5267
Nb21Mo7Ta57W15,21,7,57,15,1.2225
Nb4Mo1Ta22W73,4,1,22,73,0.8576
Nb25Mo26Ta19W30,25,26,19,30,1.7078
Nb50Mo10Ta17W23,50,10,17,23,1.3007
Nb7Mo34Ta37W22,7,34,37,22,1.9531
Nb7Mo44Ta7W42,7,44,7,42,1.2395
Nb18Mo58Ta7W17,18,58,7,17,0.8235
Nb9Mo9Ta33W49,9,9,33,49,2.0219
Nb18Mo2Ta10W70,18,2,10,70,1.0272
Nb8Mo9Ta12W71,8,9,12,71,0.8404
Nb10Mo18Ta71W1,10,18,71,1,1.1829
Nb37Mo27Ta31W5,37,27,31,5,1.259
Nb75Mo9Ta5W11,75,9,5,11,1.1446
Nb2Mo19Ta19W60,2,19,19,60,0.8419
Nb36Mo24Ta6W34,36,24,6,34,1.7955
Nb29Mo1Ta55W15,29,1,55,15,1.1638
Nb53Mo12Ta14W21,53,12,14,21,1.2931
Nb11Mo6Ta18W65,11,6,18,65,1.0271
Nb12Mo28Ta52W8,12,28,52,8,1.3255
Nb49Mo1Ta26W24,49,1,26,24,1.2565
Nb42Mo17Ta31W10,42,17,31,10,1.2243
Nb36Mo13Ta6W45,36,13,6,45,1.6848
Nb17Mo33Ta31W19,17,33,31,19,1.5367
Nb74Mo5Ta11W10,74,5,11,10,1.1154
Nb1Mo46Ta20W33,1,46,20,33,0.8727
Nb4Mo48Ta23W25,4,48,23,25,0.8464
Nb8Mo34Ta20W38,8,34,20,38,0.8519
Nb38Mo3Ta37W22,38,3,37,22,1.2504
Nb34Mo32Ta20W14,34,32,20,14,1.3413
Nb9Mo6Ta33W52,9,6,33,52,2.0354
Nb7Mo48Ta9W36,7,48,9,36,0.7965
Nb14Mo18Ta16W52,14,18,16,52,1.0719
Nb84Mo6Ta8W2,84,6,8,2,1.0811
Nb3Mo37Ta12W48,3,37,12,48,0.9241
Nb10Mo41Ta22W27,10,41,22,27,1.0487
Nb12Mo9Ta11W68,12,9,11,68,0.8198
Nb15Mo15Ta13W57,15,15,13,57,0.9692
Nb10Mo23Ta63W4,10,23,63,4,1.2465
Nb18Mo48Ta5W29,18,48,5,29,0.7801
Nb43Mo7Ta8W42,43,7,8,42,1.4128
Nb19Mo1Ta66W14,19,1,66,14,1.1579
Nb8Mo31Ta4W57,8,31,4,57,1.5684
Nb4Mo57Ta25W14,4,57,25,14,0.8194
Nb20Mo46Ta23W11,20,46,23,11,1.8382
Nb20Mo49Ta18W13,20,49,18,13,1.8585
Nb25Mo8Ta17W50,25,8,17,50,1.7792
Nb15Mo9Ta59W17,15,9,59,17,1.2371
Nb55Mo22Ta12W11,55,22,12,11,1.2503
Nb25Mo24Ta22W29,25,24,22,29,1.5258
Nb8Mo13Ta72W7,8,13,72,7,1.1955
Nb19Mo12Ta21W48,19,12,21,48,2.0937
Nb59Mo11Ta14W16,59,11,14,16,1.2319
Nb21Mo19Ta8W52,21,19,8,52,1.1407
Nb14Mo28Ta47W11,14,28,47,11,1.3423
Nb5Mo78Ta11W6,5,78,11,6,1.1053
Nb2Mo75Ta20W3,2,75,20,3,0.7292
Nb10Mo28Ta26W36,10,28,26,36,1.5406
Nb27Mo40Ta9W24,27,40,9,24,1.8005
Nb36Mo46Ta8W10,36,46,8,10,1.5891
Nb33Mo41Ta20W6,33,41,20,6,1.345
Nb2Mo66Ta6W26,2,66,6,26,1.8994
Nb28Mo59Ta5W8,28,59,5,8,1.325
Nb57Mo7Ta11W25,57,7,11,25,1.2744
Nb18Mo43Ta5W34,18,43,5,34,0.7738
Nb31Mo44Ta17W8,31,44,17,8,1.4521
Nb33Mo28Ta36W3,33,28,36,3,1.2519
Nb10Mo42Ta27W21,10,42,27,21,1.6449
Nb34Mo5Ta17W44,34,5,17,44,1.4385
Nb20Mo34Ta2W44,20,34,2,44,0.8001
Nb25Mo13Ta6W56,25,13,6,56,1.4335
Nb37Mo33Ta12W18,37,33,12,18,1.39
Nb5Mo71Ta16W8,5,71,16,8,0.7413
Nb3Mo36Ta7W54,3,36,7,54,1.9899
Nb19Mo16Ta43W22,19,16,43,22,1.3347
Nb24Mo66Ta7W3,24,66,7,3,1.0434
Nb10Mo40Ta19W31,10,40,19,31,0.9408
Nb24Mo1Ta1W74,24,1,1,74,0.9257
Nb74Mo18Ta4W4,74,18,4,4,1.1371
Nb37Mo26Ta13W24,37,26,13,24,1.4151
Nb4Mo5Ta40W51,4,5,40,51,1.9796
Nb40Mo46Ta5W9,40,46,5,9,1.5554
Nb6Mo29Ta2W63,6,29,2,63,2.0813
Nb1Mo66Ta7W26,1,66,7,26,2.1144
Nb53Mo2Ta5W40,53,2,5,40,1.3749
Nb55Mo6Ta32W7,55,6,32,7,1.1291
Nb1Mo30Ta67W2,1,30,67,2,1.2821
Nb33Mo18Ta38W11,33,18,38,11,1.2549
Nb37Mo30Ta6W27,37,30,6,27,1.7062
Nb16Mo46Ta22W16,16,46,22,16,1.8202
Nb18Mo53Ta10W19,18,53,10,19,0.8582
Nb17Mo53Ta26W4,17,53,26,4,1.886
Nb22Mo33Ta37W8,22,33,37,8,1.3327
Nb5Mo35Ta42W18,5,35,42,18,1.8071
Nb11Mo16Ta19W54,11,16,19,54,1.1223
Nb84Mo3Ta2W11,84,3,2,11,1.0813
Nb9Mo46Ta8W37,9,46,8,37,0.7973
Nb2Mo9Ta38W51,2,9,38,51,1.8282
Nb8Mo34Ta33W25,8,34,33,25,1.9602
Nb43Mo25Ta19W13,43,25,19,13,1.3041
Nb6Mo31Ta14W49,6,31,14,49,0.8052
Nb7Mo18Ta31W44,7,18,31,44,1.7179
Nb43Mo35Ta8W14,43,35,8,14,1.3542
Nb9Mo32Ta51W8,9,32,51,8,1.3433
Nb5Mo11Ta6W78,5,11,6,78,1.8006
Nb8Mo70Ta12W10,8,70,12,10,0.7325
Nb50Mo15Ta8W27,50,15,8,27,1.3462
Nb21Mo64Ta7W8,21,64,7,8,0.8475
Nb57Mo30Ta3W10,57,30,3,10,1.2854
Nb6Mo34Ta21W39,6,34,21,39,0.7854
Nb10Mo12Ta56W22,10,12,56,22,1.3242
Nb4Mo13Ta22W61,4,13,22,61,0.8302
Nb30Mo18Ta50W2,30,18,50,2,1.1824
Nb9Mo57Ta28W6,9,57,28,6,1.5767
Nb58Mo12Ta5W25,58,12,5,25,1.2974
Nb53Mo12Ta24W11,53,12,24,11,1.1947
Nb35Mo6Ta17W42,35,6,17,42,1.4399
Nb36Mo39Ta18W7,36,39,18,7,1.327
Nb11Mo1Ta20W68,11,1,20,68,1.2236
Nb13Mo33Ta12W42,13,33,12,42,0.8031
Nb22Mo35Ta28W15,22,35,28,15,1.4219
Nb40Mo19Ta39W2,40,19,39,2,1.1828
Nb16Mo36Ta29W19,16,36,29,19,1.8236
Nb65Mo13Ta5W17,65,13,5,17,1.2281
Nb13Mo7Ta7W73,13,7,7,73,0.8372
Nb1Mo70Ta25W4,1,70,25,4,0.7429
Nb69Mo3Ta21W7,69,3,21,7,1.0888
Nb28Mo10Ta39W23,28,10,39,23,1.2983
Nb23Mo1Ta74W2,23,1,74,2,1.0347
Nb18Mo4Ta56W22,18,4,56,22,1.2462
Nb29Mo4Ta52W15,29,4,52,15,1.1937
Nb46Mo25Ta25W4,46,25,25,4,1.2346
Nb11Mo37Ta28W24,11,37,28,24,1.9292
Nb62Mo11Ta16W11,62,11,16,11,1.1863
Nb19Mo38Ta37W6,19,38,37,6,1.3476
Nb67Mo8Ta9W16,67,8,9,16,1.1885
Nb6Mo44Ta31W19,6,44,31,19,1.432
Nb33Mo24Ta3W40,33,24,3,40,1.8969
Nb8Mo32Ta40W20,8,32,40,20,1.6456
Nb6Mo80Ta7W7,6,80,7,7,0.9412
Nb31Mo15Ta4W50,31,15,4,50,1.8706
Nb33Mo1Ta52W14,33,1,52,14,1.1577
Nb29Mo4Ta42W25,29,4,42,25,1.2889
Nb11Mo35Ta14W40,11,35,14,40,0.7831
Nb28Mo51Ta20W1,28,51,20,1,1.4099
Nb13Mo43Ta14W30,13,43,14,30,0.8363
Nb2Mo65Ta6W27,2,65,6,27,1.5298
Nb7Mo5Ta66W22,7,5,66,22,1.2699
Nb27Mo27Ta39W7,27,27,39,7,1.2982
Nb56Mo5Ta19W20,56,5,19,20,1.2402
Nb54Mo2Ta30W14,54,2,30,14,1.1623
Nb54Mo12Ta29W5,54,12,29,5,1.1434
Nb32Mo43Ta18W7,32,43,18,7,1.3805
Nb52Mo13Ta23W12,52,13,23,12,1.2194
Nb42Mo50Ta6W2,42,50,6,2,1.3823
Nb17Mo1Ta18W64,17,1,18,64,1.7657
Nb27Mo4Ta11W58,27,4,11,58,1.9613
Nb22Mo1Ta71W6,22,1,71,6,1.0772
Nb10Mo24Ta44W22,10,24,44,22,1.4397
Nb13Mo29Ta6W52,13,29,6,52,0.8069
Nb39Mo26Ta2W33,39,26,2,33,1.7552
Nb4Mo12Ta16W68,4,12,16,68,1.1052
Nb4Mo56Ta37W3,4,56,37,3,2.0004
Nb21Mo1Ta75W3,21,1,75,3,1.0447
Nb24Mo6Ta45W25,24,6,45,25,1.2909
Nb5Mo67Ta15W13,5,67,15,13,0.7528
Nb7Mo11Ta53W29,7,11,53,29,1.3749
Nb32Mo26Ta25W17,32,26,25,17,1.3406
Nb34Mo52Ta2W12,34,52,2,12,1.8438
Nb55Mo9Ta25W11,55,9,25,11,1.178
Nb37Mo2Ta29W32,37,2,29,32,1.3264
Nb15Mo16Ta5W64,15,16,5,64,0.8207
Nb15Mo51Ta24W10,15,51,24,10,1.8542
Nb36Mo33Ta26W5,36,33,26,5,1.284
Nb40Mo11Ta42W7,40,11,42,7,1.1666
Nb81Mo8Ta1W10,81,8,1,10,1.1174
Nb36Mo24Ta36W4,36,24,36,4,1.2345
Nb2Mo29Ta56W13,2,29,56,13,1.3738
Nb1Mo16Ta72W11,1,16,72,11,1.2539
Nb1Mo14Ta46W39,1,14,46,39,1.7549
Nb10Mo3Ta16W71,10,3,16,71,0.8732
Nb33Mo16Ta24W27,33,16,24,27,1.3703
Nb1Mo13Ta80W6,1,13,80,6,1.1783
Nb18Mo34Ta26W22,18,34,26,22,1.7884
Nb43Mo5Ta41W11,43,5,41,11,1.1598
Nb10Mo76Ta9W5,10,76,9,5,0.7327
Nb15Mo29Ta35W21,15,29,35,21,1.5159
Nb20Mo20Ta13W47,20,20,13,47,1.4362
Nb17Mo5Ta14W64,17,5,14,64,1.3052
Nb10Mo56Ta1W33,10,56,1,33,0.9616
Nb13Mo13Ta48W26,13,13,48,26,1.3658
Nb13Mo14Ta27W46,13,14,27,46,1.9159
Nb35Mo14Ta32W19,35,14,32,19,1.295
Nb1Mo62Ta5W32,1,62,5,32,1.5598
Nb88Mo7Ta3W2,88,7,3,2,1.0904
Nb25Mo3Ta67W5,25,3,67,5,1.0944
Nb11Mo10Ta58W21,11,10,58,21,1.3054
Nb12Mo22Ta35W31,12,22,35,31,1.6643
Nb1Mo6Ta64W29,1,6,64,29,1.3328
Nb23Mo26Ta29W22,23,26,29,22,1.4125
Nb3Mo28Ta25W44,3,28,25,44,0.8607
Nb10Mo26Ta42W22,10,26,42,22,1.5217
Nb4Mo54Ta36W6,4,54,36,6,1.782
Nb58Mo8Ta19W15,58,8,19,15,1.2102
Nb35Mo26Ta15W24,35,26,15,24,1.4104
Nb35Mo8Ta11W46,35,8,11,46,1.5099
Nb50Mo1Ta36W13,50,1,36,13,1.1547
Nb37Mo16Ta2W45,37,16,2,45,1.9599
Nb11Mo10Ta47W32,11,10,47,32,1.3992
Nb5Mo31Ta9W55,5,31,9,55,1.0502
Nb42Mo4Ta5W49,42,4,5,49,1.4504
Nb37Mo9Ta29W25,37,9,29,25,1.3226
Nb14Mo73Ta11W2,14,73,11,2,0.7783
Nb37Mo25Ta30W8,37,25,30,8,1.277
Nb60Mo28Ta5W7,60,28,5,7,1.2441
Nb9Mo6Ta16W69,9,6,16,69,0.8479
Nb12Mo38Ta35W15,12,38,35,15,1.6563
Nb76Mo1Ta7W16,76,1,7,16,1.1256
Nb25Mo2Ta23W50,25,2,23,50,1.511
Nb23Mo23Ta53W1,23,23,53,1,1.2037
Nb10Mo30Ta12W48,10,30,12,48,0.8102
Nb4Mo21Ta71W4,4,21,71,4,1.2244
Nb17Mo32Ta7W44,17,32,7,44,0.8029
Nb29Mo25Ta44W2,29,25,44,2,1.2321
Nb25Mo28Ta29W18,25,28,29,18,1.3874
Nb19Mo40Ta20W21,19,40,20,21,1.9825
Nb9Mo47Ta7W37,9,47,7,37,0.7985
Nb3Mo35Ta22W40,3,35,22,40,0.7786
Nb9Mo66Ta14W11,9,66,14,11,0.7347
Nb18Mo29Ta9W44,18,29,9,44,0.8872
Nb27Mo27Ta8W38,27,27,8,38,1.8974
Nb9Mo16Ta58W17,9,16,58,17,1.3112
Nb55Mo9Ta30W6,55,9,30,6,1.1334
Nb41Mo17Ta26W16,41,17,26,16,1.2769
Nb55Mo5Ta37W3,55,5,37,3,1.0829
Nb2Mo13Ta46W39,2,13,46,39,1.7268
Nb29Mo42Ta23W6,29,42,23,6,1.353
Nb11Mo13Ta30W46,11,13,30,46,1.8403
Nb66Mo7Ta22W5,66,7,22,5,1.0971
Nb67Mo8Ta13W12,67,8,13,12,1.1543
Nb4Mo27Ta68W1,4,27,68,1,1.2525
Nb16Mo60Ta12W12,16,60,12,12,0.8295
Nb16Mo3Ta67W14,16,3,67,14,1.1757
Nb10Mo11Ta9W70,10,11,9,70,0.8457
Nb6Mo38Ta34W22,6,38,34,22,1.9137
Nb21Mo31Ta20W28,21,31,20,28,2.0169
Nb14Mo40Ta3W43,14,40,3,43,0.862
Nb16Mo57Ta10W17,16,57,10,17,0.8348
Nb31Mo23Ta37W9,31,23,37,9,1.2689
Nb22Mo7Ta31W40,22,7,31,40,1.4547
Nb20Mo12Ta7W61,20,12,7,61,0.9825
Nb12Mo15Ta41W32,12,15,41,32,1.4793
Nb25Mo1Ta37W37,25,1,37,37,1.3742
Nb9Mo14Ta35W42,9,14,35,42,1.7054
Nb54Mo4Ta8W34,54,4,8,34,1.3279
Nb29Mo20Ta36W15,29,20,36,15,1.3072
Nb65Mo5Ta10W20,65,5,10,20,1.2116
Nb47Mo11Ta11W31,47,11,11,31,1.3515
Nb5Mo6Ta35W54,5,6,35,54,2.0397
Nb35Mo36Ta4W25,35,36,4,25,1.9203
Nb5Mo7Ta80W8,5,7,80,8,1.1453
Nb4Mo64Ta14W18,4,64,14,18,0.8137
Nb27Mo37Ta11W25,27,37,11,25,1.953
Nb29Mo34Ta9W28,29,34,9,28,1.9469
Nb4Mo49Ta12W35,4,49,12,35,0.8076
Nb2Mo12Ta5W81,2,12,5,81,1.9733
Nb3Mo66Ta28W3,3,66,28,3,0.8952
Nb60Mo5Ta19W16,60,5,19,16,1.1987
Nb18Mo8Ta62W12,18,8,62,12,1.2023
Nb8Mo62Ta10W20,8,62,10,20,0.7557
Nb31Mo2Ta2W65,31,2,2,65,1.9237
Nb1Mo27Ta71W1,1,27,71,1,1.2509
Nb4Mo77Ta17W2,4,77,17,2,0.7334
Nb45Mo30Ta23W2,45,30,23,2,1.2451
Nb6Mo35Ta39W20,6,35,39,20,2.0016
Nb6Mo2Ta70W22,6,2,70,22,1.2308
Nb13Mo41Ta43W3,13,41,43,3,1.3389
Nb53Mo12Ta3W32,53,12,3,32,1.3615
Nb46Mo16Ta34W4,46,16,34,4,1.1708
Nb7Mo50Ta24W19,7,50,24,19,0.9958
Nb23Mo15Ta49W13,23,15,49,13,1.2644
Nb1Mo9Ta56W34,1,9,56,34,1.4218
Nb1Mo69Ta6W24,1,69,6,24,1.5325
Nb33Mo50Ta3W14,33,50,3,14,1.8895
Nb14Mo19Ta13W54,14,19,13,54,0.9257
Nb45Mo12Ta30W13,45,12,30,13,1.2275
Nb34Mo21Ta8W37,34,21,8,37,1.7786
Nb12Mo69Ta17W2,12,69,17,2,0.8565
Nb14Mo35Ta4W47,14,35,4,47,0.8324
Nb35Mo37Ta2W26,35,37,2,26,1.8704
Nb16Mo51Ta21W12,16,51,21,12,1.6943
Nb17Mo28Ta24W31,17,28,24,31,1.9546
Nb19Mo37Ta36W8,19,37,36,8,1.3561
Nb13Mo36Ta27W24,13,36,27,24,1.9981
Nb31Mo11Ta1W57,31,11,1,57,1.6506
Nb48Mo19Ta19W14,48,19,19,14,1.2616
Nb60Mo7Ta21W12,60,7,21,12,1.1711
Nb20Mo54Ta11W15,20,54,11,15,1.0339
Nb34Mo21Ta42W3,34,21,42,3,1.1983
Nb25Mo39Ta30W6,25,39,30,6,1.3449
Nb49Mo7Ta6W38,49,7,6,38,1.3842
Nb12Mo1Ta20W67,12,1,20,67,1.4108
Nb32Mo11Ta41W16,32,11,41,16,1.2423
Nb2Mo1Ta87W10,2,1,87,10,1.1057
Nb39Mo34Ta23W4,39,34,23,4,1.2796
Nb4Mo61Ta11W24,4,61,11,24,1.0635
Nb46Mo19Ta8W27,46,19,8,27,1.3798
Nb10Mo15Ta20W55,10,15,20,55,1.0597
Nb63Mo15Ta7W15,63,15,7,15,1.2247
Nb1Mo22Ta11W66,1,22,11,66,2.1491
Nb21Mo17Ta2W60,21,17,2,60,0.8386
Nb92Mo6Ta1W1,92,6,1,1,1.0799
Nb43Mo8Ta20W29,43,8,20,29,1.3583
Nb38Mo16Ta40W6,38,16,40,6,1.1874
Nb4Mo16Ta18W62,4,16,18,62,0.8555
Nb12Mo34Ta40W14,12,34,40,14,1.4097
Nb35Mo39Ta7W19,35,39,7,19,1.7277
Nb47Mo19Ta33W1,47,19,33,1,1.1623
Nb42Mo8Ta22W28,42,8,22,28,1.3405
Nb6Mo30Ta57W7,6,30,57,7,1.335
Nb14Mo10Ta27W49,14,10,27,49,2.058
Nb29Mo5Ta12W54,29,5,12,54,1.7993
Nb15Mo64Ta7W14,15,64,7,14,0.736
Nb16Mo42Ta17W25,16,42,17,25,1.3243
Nb26Mo14Ta23W37,26,14,23,37,1.5481
Nb14Mo42Ta17W27,14,42,17,27,1.1255
Nb39Mo21Ta26W14,39,21,26,14,1.2696
Nb12Mo19Ta63W6,12,19,63,6,1.2338
Nb6Mo26Ta21W47,6,26,21,47,0.8353
Nb7Mo44Ta47W2,7,44,47,2,1.3665
Nb26Mo59Ta10W5,26,59,10,5,1.718
Nb19Mo2Ta29W50,19,2,29,50,1.5104
Nb13Mo40Ta31W16,13,40,31,16,1.8766
Nb1Mo26Ta64W9,1,26,64,9,1.3183
Nb14Mo12Ta72W2,14,12,72,2,1.1367
Nb12Mo38Ta25W25,12,38,25,25,1.7599
Nb36Mo12Ta24W28,36,12,24,28,1.3601
Nb40Mo11Ta4W45,40,11,4,45,1.5613
Nb60Mo1Ta11W28,60,1,11,28,1.2576
Nb30Mo6Ta30W34,30,6,30,34,1.3689
Nb11Mo8Ta37W44,11,8,37,44,1.6166
Nb68Mo10Ta13W9,68,10,13,9,1.1441
Nb13Mo12Ta7W68,13,12,7,68,0.826
Nb43Mo5Ta30W22,43,5,30,22,1.2522
Nb63Mo17Ta5W15,63,17,5,15,1.2299
Nb34Mo26Ta29W11,34,26,29,11,1.301
Nb21Mo11Ta37W31,21,11,37,31,1.376
Nb31Mo36Ta1W32,31,36,1,32,1.4387
Nb39Mo3Ta10W48,39,3,10,48,1.4357
Nb40Mo31Ta23W6,40,31,23,6,1.2875
Nb20Mo25Ta16W39,20,25,16,39,1.7343
Nb13Mo10Ta41W36,13,10,41,36,1.4395
Nb4Mo32Ta53W11,4,32,53,11,1.3768
Nb29Mo15Ta31W25,29,15,31,25,1.358
Nb24Mo30Ta31W15,24,30,31,15,1.3762
Nb22Mo14Ta49W15,22,14,49,15,1.2921
Nb5Mo65Ta22W8,5,65,22,8,0.7514
Nb55Mo2Ta15W28,55,2,15,28,1.2688
Nb66Mo4Ta9W21,66,4,9,21,1.2128
Nb20Mo12Ta62W6,20,12,62,6,1.1747
Nb13Mo49Ta12W26,13,49,12,26,0.7829
Nb21Mo9Ta60W10,21,9,60,10,1.1887
Nb49Mo1Ta46W4,49,1,46,4,1.0672
Nb13Mo37Ta33W17,13,37,33,17,1.7568
Nb4Mo3Ta23W70,4,3,23,70,0.8322
Nb19Mo38Ta27W16,19,38,27,16,1.6339
Nb10Mo18Ta6W66,10,18,6,66,1.0562
Nb3Mo61Ta9W27,3,61,9,27,1.2357
Nb30Mo34Ta22W14,30,34,22,14,1.3622
Nb7Mo5Ta23W65,7,5,23,65,0.9714
Nb45Mo8Ta29W18,45,8,29,18,1.2549
Nb23Mo12Ta25W40,23,12,25,40,1.548
Nb84Mo2Ta12W2,84,2,12,2,1.0507
Nb56Mo3Ta37W4,56,3,37,4,1.078
Nb14Mo36Ta44W6,14,36,44,6,1.3455
Nb28Mo41Ta9W22,28,41,9,22,1.9602
